year_of_exercise,product_name,product_brand,material_id_code,material_description,business_division,site
2024,Zolvarin,Zolvarin,MAT-20139,Water for Injection,Consumer Healthcare,Eastgate Site
2025,Brenzolix,Brenzolix,MAT-20029,Lab Reagent Kit,Pharmaceuticals,Northfield Site
2025,Brenzolix,Brenzolix,MAT-20029,Lab Reagent Kit,Pharmaceuticals,Northfield Site
2026,Norvelin,Norvelin,MAT-20046,Patient Information Leaflet,Pharmaceuticals,Rivermill Site
2025,Sentrivax,Sentrivax,MAT-20144,Folding Carton,Specialty Care,Meadowbrook Site
2026,Brenzolix,Brenzolix,MAT-20071,Sodium Benzoate,Specialty Care,Bridgeholm Site
2026,Immunara,Immunara,MAT-20045,Corrugated Shipping Box,Vaccines,Solaris Park Site
2024,Wintrelis,Wintrelis,MAT-20073,Water for Injection,Consumer Healthcare,Kingsley Site
2025,Xantivo,Xantivo,MAT-20071,Sodium Benzoate,Pharmaceuticals,Northfield Site
2025,Norvelin,Norvelin,MAT-20046,Patient Information Leaflet,Specialty Care,Eastgate Site
2025,Lumivax,Lumivax,MAT-20084,Custom Synthesis Batch,Vaccines,Eastgate Site
2025,Vezanta,Vezanta,MAT-20113,Pressure-sensitive Label,Pharmaceuticals,Ashford Site
2025,Glucovex,Glucovex,MAT-20135,Microcrystalline Cellulose,Consumer Healthcare,Eastgate Site
2024,Norvelin,Norvelin,MAT-20144,Folding Carton,Pharmaceuticals,Ashford Site
2025,Sentrivax,Sentrivax,MAT-20021,Inbound Road Freight - Pallet,Pharmaceuticals,Eastgate Site
2026,Wintrelis,Wintrelis,MAT-20002,Synthetic Peptide Concentrate,Vaccines,Solaris Park Site
2025,Kaldrin,Kaldrin,MAT-20058,Cold Storage - Warehouse Pallet Slot,Pharmaceuticals,Northfield Site
2024,Yenzura,Yenzura,MAT-20129,Pipette Tips (case),Specialty Care,Northfield Site
2024,Mendovia,Mendovia,MAT-20113,Pressure-sensitive Label,Specialty Care,Bridgeholm Site
2024,Immunara,Immunara,MAT-20138,Isopropyl Alcohol,Vaccines,Rivermill Site
2025,Calmera,Calmera,MAT-20137,Methylparaben,Specialty Care,Solaris Park Site
2026,Estrivon,Estrivon,MAT-20143,HDPE Bottle 250ml,Consumer Healthcare,Fenwick Site
2025,Pulmatrix,Pulmatrix,MAT-20004,Enteric Coating Blend,Specialty Care,Fenwick Site
2024,Torvexa,Torvexa,MAT-20002,Synthetic Peptide Concentrate,Vaccines,Kingsley Site
2026,Yenzura,Yenzura,MAT-20018,Custom Synthesis Batch,Consumer Healthcare,Eastgate Site
2024,Norvelin,Norvelin,MAT-20052,Aseptic Fill & Finish Service,Vaccines,Clearwater Site
2024,Wintrelis,Wintrelis,MAT-20016,Stretch Pallet Wrap,Vaccines,Ashford Site
2025,Mendovia,Mendovia,MAT-20020,Contract Packaging Service,Vaccines,Rivermill Site
2025,Immunara,Immunara,MAT-20140,Freeze-dried Vaccine Vial,Pharmaceuticals,Kingsley Site
2024,Estrivon,Estrivon,MAT-20046,Patient Information Leaflet,Pharmaceuticals,Rivermill Site
