ghg_category,source_system,data_source,company_code,indicator_name,business_division,year,site_country,site_name,parent_supplier_name,supplier_name,supplier_number,supplier_address,supplier_city,supplier_country,category_level_1_enriched,category_level_2_enriched,category_level_3_enriched,category_level_4_enriched,co2_factor,co2_factor_final,co2_factor_name_final,co2_factor_name_supplier_submissions,gplt,gplt1,gplt2,material,material_code,co2e_mt,tonnage,uom,quantity_corrected,invoice_quantity
Category 2 - Capital Goods,S/4HANA Procurement,Coupa,CC-190,Cold Chain Transport - 2-8C,Specialty Care,2025,Switzerland,Eastgate Site,Sterling Industries,Cascade Packaging Ltd,SUP-10034,774 Factory Lane,Millbridge,Poland,Logistics,Cold Chain,Refrigerated Transport,Refrigerated Transport - Grade A,279.6101,279.6101,Cold Chain Transport - 2-8C EF - Atlas Polymer Group,Cold Chain Transport - 2-8C Supplier Submission,Capital,Equipment,Lab Equipment,Cold Chain Transport - 2-8C,MAT-20024,25202.6564,90.135,unit,98794.05,87078.31
Category 2 - Capital Goods,S/4HANA Procurement,S/4HANA Procurement,CC-136,Cold Chain Transport - 2-8C,Vaccines,2026,Switzerland,Bridgeholm Site,Sterling Industries,Cascade Packaging Ltd,SUP-10034,890 Industrial Way,Millbridge,Poland,Logistics,Cold Chain,Refrigerated Transport,Refrigerated Transport - Grade A,279.6101,279.6101,Cold Chain Transport - 2-8C EF - Atlas Polymer Group,Cold Chain Transport - 2-8C Supplier Submission,Capital,Equipment,Lab Equipment,Cold Chain Transport - 2-8C,MAT-20024,23259.6458,83.186,tonne,85335.28,88003.89
Category 5 - Waste Generated in Operations,S/4HANA Procurement,Coupa,CC-110,Clinical Trial Kit,Vaccines,2025,United Kingdom,Meadowbrook Site,Atlas Materials Corp,Everline Industries,SUP-10012,659 Harbor Ave,Brookfield,Germany,Lab & Clinical Supplies,Clinical Trial Materials,Trial Kits,Trial Kits - Grade Premium,173.1395,173.1395,Clinical Trial Kit EF - Vantis Packaging Ltd,Clinical Trial Kit Supplier Submission,Services,Professional Services,Consulting,Clinical Trial Kit,MAT-20098,47486.6244,274.268,litre,276970.72,254592.13
Category 4 - Upstream Transportation and Distribution,S/4HANA Procurement,Coupa,CC-197,Clinical Trial Kit,Specialty Care,2026,United Kingdom,Solaris Park Site,Atlas Materials Corp,Everline Industries,SUP-10012,397 Harbor Ave,Brookfield,Germany,Lab & Clinical Supplies,Clinical Trial Materials,Trial Kits,Trial Kits - Grade Premium,173.1395,173.1395,Clinical Trial Kit EF - Vantis Packaging Ltd,Clinical Trial Kit Supplier Submission,Services,Professional Services,Consulting,Clinical Trial Kit,MAT-20098,51155.6235,295.459,tonne,294851.86,319314.49
Category 12 - End of Life Treatment of Sold Products,Coupa,S/4HANA Procurement,CC-194,Stainless Steel Reactor Component,Vaccines,2025,Ireland,Rivermill Site,Sterling Industries,Helix Labs,SUP-10009,551 Industrial Way,Oakhaven,Poland,Capital Equipment,Process Equipment,Reactors & Vessels,Reactors & Vessels - Grade A,847.3672,847.3672,Stainless Steel Reactor Component EF - Cascade Labs,Stainless Steel Reactor Component Supplier Submission,Direct Materials,APIs & Actives,API - Biologic,Stainless Steel Reactor Component,MAT-20125,377425.8246,445.41,litre,436766.05,453884.68
Category 1 - Purchased Goods and Services,Coupa,S/4HANA Procurement,CC-195,Stainless Steel Reactor Component,Pharmaceuticals,2026,France,Solaris Park Site,Sterling Industries,Helix Labs,SUP-10009,859 Industrial Way,Oakhaven,Poland,Capital Equipment,Process Equipment,Reactors & Vessels,Reactors & Vessels - Grade A,847.3672,847.3672,Stainless Steel Reactor Component EF - Cascade Labs,Stainless Steel Reactor Component Supplier Submission,Direct Materials,APIs & Actives,API - Biologic,Stainless Steel Reactor Component,MAT-20125,344120.0568,406.105,tonne,420694.53,395609.93
Category 5 - Waste Generated in Operations,S/4HANA Procurement,Coupa,CC-189,Glass Vial 2ml,Pharmaceuticals,2025,Poland,Kingsley Site,Quantum Holdings,Ridgeline Labs,SUP-10019,924 Factory Lane,Castlewood,Ireland,Packaging Materials,Primary Packaging,Glass Vials,Glass Vials - Grade Std,176.3758,176.3758,Glass Vial 2ml EF - Quantum Excipients Ltd,Glass Vial 2ml Supplier Submission,Services,Contract Manufacturing,Fill & Finish,Glass Vial 2ml,MAT-20074,82380.0213,467.071,tonne,508472.26,456620.21
Category 4 - Upstream Transportation and Distribution,S/4HANA Procurement,Coupa,CC-187,Glass Vial 2ml,Consumer Healthcare,2026,Singapore,Solaris Park Site,Quantum Holdings,Ridgeline Labs,SUP-10019,964 Harbor Ave,Castlewood,Ireland,Packaging Materials,Primary Packaging,Glass Vials,Glass Vials - Grade Std,176.3758,176.3758,Glass Vial 2ml EF - Quantum Excipients Ltd,Glass Vial 2ml Supplier Submission,Services,Contract Manufacturing,Fill & Finish,Glass Vial 2ml,MAT-20074,81260.7405,460.725,unit,485915.9,460337.55
Category 5 - Waste Generated in Operations,Coupa,S/4HANA Procurement,CC-160,Ibuprofen API,Consumer Healthcare,2025,United Kingdom,Meadowbrook Site,Quantum Holdings,Ferrolux Manufacturing Co.,SUP-10008,894 Commerce Rd,Harborview,China,Raw Materials,Active Pharmaceutical Ingredients,Small Molecule API,Small Molecule API - Grade B,43.7131,43.7131,Small Molecule API - Industry Average EF,Ibuprofen API Supplier Submission,Capital,Equipment,Lab Equipment,Ibuprofen API,MAT-20066,8471.4239,193.796,kg,192873.46,204803.93
Category 1 - Purchased Goods and Services,Coupa,S/4HANA Procurement,CC-156,Ibuprofen API,Consumer Healthcare,2026,Ireland,Meadowbrook Site,Quantum Holdings,Ferrolux Manufacturing Co.,SUP-10008,91 Industrial Way,Harborview,China,Raw Materials,Active Pharmaceutical Ingredients,Small Molecule API,Small Molecule API - Grade B,43.7131,43.7131,Small Molecule API - Industry Average EF,Ibuprofen API Supplier Submission,Capital,Equipment,Lab Equipment,Ibuprofen API,MAT-20066,9099.8435,208.172,unit,206808.3,207340.08
